generation_rank	just_response	wo_just_response
generation_0	"It's slow, low on power, and the 1.3 liter engine is just a joke. I would not buy this car again. I'll just buy another car next time.
Answer: decrease"	"I have the 2003 Toyota Tacoma and the engine in that is great, I was just expecting the same in this Lexus. Is the review positive or negative?
A: Negative"
generation_1	"it won't start easily and it's really sluggish to drive. I would never recommend this car to anyone. I have a car that is 6 years old, 160,000 miles, and it's better than this car. Answer:
A"	When driving at a steady speed, it makes a grinding sound from the engine. I have taken it to a mechanic and he put it on a diagnostic machine. It says it is in the normal range for engine noise. I don't believe that,
generation_2	It is very loud & vibrates a lot. I am a small person and it hurts my ears and I can't even imagine what it would be like for my son to ride in it. The straps are not even safe. The strap in the	The car itself is pretty nice. It is a 2.4 liter twin cam motor. It is also a 4 cylinder. This car has a lot of room in the backseat. It has a 4 speed automatic. It comes with
generation_3	It takes a lot to get it to even start, and when it does start, it's going to run forever. I've had it for about 9 years and I'm just about to put it out to pasture. Would you say this review	I have to push the clutch in to start it and I have to hold it in while I'm driving it. It's slow, gets crappy mileage, and is noisy. I need a new car and I will never buy another one of these.
generation_4	The car is awesome, but it has a horrible engine. It is a mustang with a 2.3 liter 4 cylinder engine, with 92 horsepower. The 4 cylinder mustang was only made in 1993-1994	I would never recommend this car to anyone. The engine is very hard to start. It takes me about 15 min to start it. It takes about 15 min to warm up. It shuts off every 5 min. I hate this car
generation_5	The engine has so much trouble starting that I have to pull the key out of the ignition and try again about 20 times before it starts. It is so loud inside the car that I can hear it with the windows up and the radio on.	It is very unreliable, and it often overheats. Last time I drove it, it broke down on the highway. It was very inconvenient because I had to wait for a tow truck to come and help me. While I was waiting, I was
generation_6	It is so slow that it takes 10 minutes to get up to speed, and then it sounds like it is going to fall apart at anytime. It is not a good toy at all. It is very disappointing. Is this product review negative?	It has a lot of power but it is very unreliable. I have had nothing but trouble with it. The engine will not start in the morning. I have to take it to the shop all the time. It has no acceleration. It does not
generation_7	"If you want a sporty vehicle, purchase a European sports car, there are many out there to choose from. Would you say this review depicts the product in a flattering or unflattering light?
The answer is: unflattering"	I've had it for two years and it runs rough and is not very powerful. It has no power at higher speeds and it constantly needs to be tuned up. I am very disappointed. I would have been better off buying a used car. The
generation_8	It is not worth the price. My mother in law bought it for me for my birthday and I was thrilled. I thought it was a great idea and very fun. Unfortunately every time I have used it I have had to wait at least 20	It is hard to start and sputters and dies. It has to be restarted several times before it will run. It also stalls. The body is very heavy and the engine power is inadequate. My husband thinks it is not powerful enough for the
generation_9	Very poor quality and terrible reliability. I had to replace the engine in the car after only 8 months of light driving. The car also has very poor gas mileage. I had to fill the tank every week. I don't recommend this car.	It runs rough and there is no power. I'm not sure how this car was ever sold as a sports car. I thought the engine was bad in my 2001, but this 2006 is way worse. Would you say this review
generation_10	My husband and I have been searching for a new car for 2 years and have test driven dozens of cars. We have been looking at small SUV's and have been renting to test. We have been looking at the Mazda CX-5 and the	I can't imagine how they ever got it to work. The engine will begin running and after a few seconds, when it's warm enough, it starts emitting a constant high-pitched whine. It sounds like a car alarm. And it is
generation_11	I have to use premium gas to prevent it from knocking. I've had this car for 3 years now and have put about 35,000 miles on it. I have had to replace the transmission, the starter, the water pump, the	It just isn't powerful enough to do much of anything, and I'm talking about the kind of road I drive on all the time, a road that doesn't have a speed limit. It has a lot of accessories, but they aren't very
generation_12	I have a 2005 4.0L XLT and I'd take a 4-cylinder Mustang over a V6 Explorer. The most annoying trait of the engine is the whine. It's a constant whine that makes the	It has terrible power and torque. It also gets poor gas mileage. It is way too underpowered for a car with this size. The car is not even that fast either. The car also has been known to have engine troubles. If you want
