generation_rank	just_response	wo_just_response
generation_0	I have to admit that I am a little jealous of her because I just cannot seem to get the crust right. I don't know what it is. I've tried different crusts, different ways to cook them, different flours, different fill	"The only thing that would make it better would be if I could stuff my face with it all day long without having to share.

3. I love my grandkids. They are my life. I wish I could be with them more often.

4"
generation_1	It's a little rich, so I can only eat a small piece, but it is so good.  I tried it several times and I have made it a few times since then (it's easy and the ingredients are easy to find).	My friend makes the world's best pate. But I've never been able to get my own quiche and patte to turn out half as good as theirs. I've tried a number of different recipes. I've tried different fillings.
generation_2	It's so good, I'm not even sure I could ever make it as good as she does.  I'm not sure if it's because her crust is so flaky and light, her eggs are so perfectly cooked, or	"It's one of those meals that my husband and I both look forward to. It's a special treat for us. But how do we recreate this meal at home? How do we make our mother-in-law's quiche?

If you've ever"
generation_3	It's so good that it can take care of a whole family of 4-6. It's also easy to make. You can use any kind of veggie to go with it but we favor spinach and mushrooms. We usually buy the really	But there's one thing she does differently than the recipe I've seen in cookbooks. She puts the cream and egg mixture into the crust first. Then she puts the cheese and meat on top. And finally she bakes the whole thing with the
generation_4	"I can't wait to try her recipe. 

I love quiche. Quiche is one of my favorite foods. This quiche is so good that I could eat it every day. I crave it.
A: Quiche"	"It has a thin crust that doesn't get soggy. It has cheese, and lots of vegetables and egg. I wonder if it's similar to this one."" (It's not, but it was a nice compliment.)

The crust is deliciously"
generation_5	"I like how you can make it in advance, too.  This recipe was featured on the Food Network show The Best Thing I Ever Ate, where it is called ""the best quiche in the country.""  I don't know about"	"She uses frozen pie shells that she bakes, and then fills them with a mixture of eggs, cream, and cheddar cheese.

She has been baking for years and years with no problems. I had a pie shell on hand that I baked last"
generation_6	"It takes her more than an hour to make it, and she has to make it right before it's served, because it is so fragile.

Here are the ingredients:

  • 1 cup grated cheese (cheddar, swiss, american,"	"She makes it with pate brisee, watercress, and fresh local eggs. I am not sure if that is the reason it is so good, but I know it is delicious!
What is a summary of this review? This restaurant"
generation_7	"She said that she got the recipe from a cookbook. Does anyone know of a cookbook with really good quiche recipes?

I have a cookbook called ""The Best of Southern Living Quiches, Casseroles, Stratas, and Souffles"	I made one for a potluck, and it was eaten in 15 minutes. I mean, it was gone. I didn't even get to see one slice. And since I didn't have a recipe, I've been hoping that she'll
generation_8	So instead of buying one for Easter, I decided to make one myself. I thought I had every ingredient on hand, so I was shocked when I realized I didn't have any heavy cream. No problem, I thought, I'll just use half	"I'm going to ask her to make one for me. Answer:
output: Yes

input with options: Based on this review, would the user recommend this product? === Review: I got this for my mom for Mother's Day, and I"
generation_9	"And, of course, my husband makes a great pot-au-feu.""

Food is a great cultural unifier. It is something we all share, and something we all have in common. We may not all eat the same food, but we do"	She makes a lemon curd base which is creamy and just a little bit tart.  It's perfect.  She then fills it with a combination of caramelized onions, mushrooms, and cheese.
generation_10	"I'm going to try it. 

One of the things I like about this recipe is that it contains buttermilk. I love buttermilk. I love the tang it adds. It's like a secret ingredient. I think of but"	It is the most amazing quiche I have ever tasted. (I have yet to try my own!) Mine is usually just okay, but I feel like I am improving. (I also always have to use a recipe, but I am hoping to
