pilot_row_index	source_row_index	source_file_index	id	word	_5	context	w_word	wo_word	followup	human_negative_followups	human_negative_pilot_row_indices	human_negative_source_row_indices	human_negative_count	followup_token_length	followup_final_punctuation	build_seed	human_negative_target	row_limit	prompt_with	prompt_without	next_speaker	fold_id
0	0	1	3	not		Would you mind waiting a while?__eou__Well, how long will it be?	I'm not sure. But I'll get a table ready as fast as I can.	I'm sure. But I'll get a table ready as fast as I can.	OK. We'll wait.	"[""Oh, I'm sorry."",""It's the circus."",""Ok, I see."",""I don\u2019t understand."",""OK. That's fine.""]"	[5,185,1014,636,987]	[5,185,1014,636,987]	5	3	.	13	5		"Speaker 1: Would you mind waiting a while?
Speaker 2: Well, how long will it be?
Speaker 1: I'm not sure. But I'll get a table ready as fast as I can.
Speaker 2: "	"Speaker 1: Would you mind waiting a while?
Speaker 2: Well, how long will it be?
Speaker 1: I'm sure. But I'll get a table ready as fast as I can.
Speaker 2: "	Speaker 2	2
1	1	2	5	not		Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	"[""The guys I've talked to say that the activities that go on in a frat house can be a little distracting depending on the group."",""Yeah, I know what you mean. The first year of any marriage is difficult for all couples, not to mention two people from different cultures."",""But when I noticed that he was left in the cold, I could not help wanting to help him to get out of the situation."",""Well, Then you can go to the three-day-long training camp first. There\u2019re some professional teachers and they can guide you to do certain necessary exercise."",""They're awesome! I was browsing through the eBay auction today, and I found the cutest fat little copper Buddha! It's over a hundred years old.""]"	[339,778,686,771,806]	[339,778,686,771,806]	5	25	.	13	5		"Speaker 1: Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?
Speaker 2: I swear, I’m going to kill you for this.
Speaker 1: What’s wrong? Didn’t you think it was fun?!
Speaker 2: Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.
Speaker 1: "	"Speaker 1: Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?
Speaker 2: I swear, I’m going to kill you for this.
Speaker 1: What’s wrong? Didn’t you think it was fun?!
Speaker 2: Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.
Speaker 1: "	Speaker 1	0
2	2	3	7	not		Can you manage chopsticks?	Why not? See.	Why? See.	Good mastery. How do you like our Chinese food?	"[""You are right. How about paintings and embroidered handkerchiefs?"",""really? That\u2019s fantastic. What kind of business is it?"",""Why do you want to go to the US?"",""Oh, hey, did you look in the classified ads?"",""I noticed that too. What are the people learning?""]"	[21,1234,995,666,723]	[21,1234,995,666,723]	5	9	?	13	5		"Speaker 1: Can you manage chopsticks?
Speaker 2: Why not? See.
Speaker 1: "	"Speaker 1: Can you manage chopsticks?
Speaker 2: Why? See.
Speaker 1: "	Speaker 1	0
3	3	4	15	not		Is everything to your satisfaction?	No, the steak was recommended, but it is not very fresh.	No, the steak was recommended, but it is very fresh.	Oh! Sorry to hear that. This is quite unusual as we have steak from the market every day.	"[""I\u2019m sorry. Our company has just opened. There are always too many things to handle. You know that."",""Well, you have to wait in line like everyone else. Besides, you should let old people on first."",""I'm still not too jazzed about going ... I feel kind of awkward in those cocktail party situations."",""Have you been eating properly? Eating the right kind of food is important for your health, you know."",""I'm sorry. Our company has just opened. There are always too many things to handle. You know that.""]"	[8,286,780,1020,38]	[8,286,780,1020,38]	5	18	.	13	5		"Speaker 1: Is everything to your satisfaction?
Speaker 2: No, the steak was recommended, but it is not very fresh.
Speaker 1: "	"Speaker 1: Is everything to your satisfaction?
Speaker 2: No, the steak was recommended, but it is very fresh.
Speaker 1: "	Speaker 1	3
4	4	5	35	not		I'm looking for some black pumps to go with my evening gown. Could you show me what you have?__eou__Sure, we have several different styles you may choose. How high of a heel do you want?	Not to high, maybe an inch or an inch in the half would be the best.	To high, maybe an inch or an inch in the half would be the best.	In that case, I might have just the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell just by looking at it that it was superbly made.	"[""That\u2019s exactly what I\u2019m getting at. We\u2019re supposed to be able to do our preparation and marking in that office, but have you noticed? Jack constantly has students coming in to get help with his course. A lot people are going in and out."",""Very well.This arrangement here is very popular among regretful husbands and boyfriends. It has a dozen long stem red roses with a couple of sunflowers and a single orchid that stands out. It includes a small teddy bear to achieve the effect of immediate forgiveness."",""No, they aren't. They had a hard time in the group stage and only sealed a sit in the eighth-finals with Wallack' s header in the final three minutes. Just think, group A consists of Austria, China, and Saudi Arabia, all of which are minnows."",""As we are a well-established company, we are very familiar with the customers' needs. Besides, we can make full use of our good connections with the wholesalers and retailers here and develop a good market for your products if appointed as your agent."",""What?! Isn't there a law against that, I think there is some legislation that requires employers to give their employees a fair rate of wages. You should know your rights! If you are putting in so many hours, they should give you some kind of compensation.""]"	[1216,227,537,1061,426]	[1216,227,537,1061,426]	5	44	.	13	5		"Speaker 1: I'm looking for some black pumps to go with my evening gown. Could you show me what you have?
Speaker 2: Sure, we have several different styles you may choose. How high of a heel do you want?
Speaker 1: Not to high, maybe an inch or an inch in the half would be the best.
Speaker 2: "	"Speaker 1: I'm looking for some black pumps to go with my evening gown. Could you show me what you have?
Speaker 2: Sure, we have several different styles you may choose. How high of a heel do you want?
Speaker 1: To high, maybe an inch or an inch in the half would be the best.
Speaker 2: "	Speaker 2	3
5	5	10	71	not		Is Tom in?__eou__Wrong number.__eou__Isn't this Li's residence?	No, it is not.	No, it is.	Oh, I'm sorry.	"[""I don\u2019t understand."",""Well, thanks anyway."",""Really? I\u2019m surprised."",""OK. That's fine."",""Ok, I see.""]"	[1300,71,726,987,1014]	[1300,71,726,987,1014]	5	3	.	13	5		"Speaker 1: Is Tom in?
Speaker 2: Wrong number.
Speaker 1: Isn't this Li's residence?
Speaker 2: No, it is not.
Speaker 1: "	"Speaker 1: Is Tom in?
Speaker 2: Wrong number.
Speaker 1: Isn't this Li's residence?
Speaker 2: No, it is.
Speaker 1: "	Speaker 1	4
6	6	13	81	not		I'm trying to reach Robert please.	Robert is not available at the moment.	Robert is available at the moment.	What time should I call back?	"[""What time will he be back?"",""What about going to a movie?"",""Is rice your staple food, too?"",""How do I take the pills?"",""OK. Is there a Chinese restaurant?""]"	[88,757,737,1027,982]	[88,757,737,1027,982]	5	6	?	13	5		"Speaker 1: I'm trying to reach Robert please.
Speaker 2: Robert is not available at the moment.
Speaker 1: "	"Speaker 1: I'm trying to reach Robert please.
Speaker 2: Robert is available at the moment.
Speaker 1: "	Speaker 1	1
7	7	14	83	not		Can you connect me to Mary. Smith Hotel room?	Mrs. Smith has not checked in yet.	Mrs. Smith has checked in yet.	Can you leave a message for her to call her office?	"[""if you get the promotion, what will your new title be?"",""Will you ask him to call me collect when he\u2019s back?"",""Uh-oh. He's heating up. What are you going to do now?"",""Great. What about having a formal interview on Monday next week?"",""That's true. What kind of safety features are we talking about?""]"	[901,1128,1149,1146,255]	[901,1128,1149,1146,255]	5	11	?	13	5		"Speaker 1: Can you connect me to Mary. Smith Hotel room?
Speaker 2: Mrs. Smith has not checked in yet.
Speaker 1: "	"Speaker 1: Can you connect me to Mary. Smith Hotel room?
Speaker 2: Mrs. Smith has checked in yet.
Speaker 1: "	Speaker 1	1
8	8	16	95	not		Jessie, I’m afraid I can’t come back home for dinner tonight.	Not back home for dinner again? That’s the third time this week!	Back home for dinner again? That’s the third time this week!	I’m sorry. Our company has just opened. There are always too many things to handle. You know that.	"[""It doesn't matter, Mr.Lin. I can understand. I know you are always very busy. Work must come first."",""But it would only be adding to the existing structure. We're not talking about anything new here ..."",""Have you been eating properly? Eating the right kind of food is important for your health, you know."",""Don't worry. You don't have to do anything.All you have to do is listen. You will enjoy it."",""I know. But I just can't stand her butting in when I was trying to emphasize a point.""]"	[1137,1292,1020,882,404]	[1137,1292,1020,882,404]	5	18	.	13	5		"Speaker 1: Jessie, I’m afraid I can’t come back home for dinner tonight.
Speaker 2: Not back home for dinner again? That’s the third time this week!
Speaker 1: "	"Speaker 1: Jessie, I’m afraid I can’t come back home for dinner tonight.
Speaker 2: Back home for dinner again? That’s the third time this week!
Speaker 1: "	Speaker 1	0
9	9	20	149	not		May I speak to Marry?	Marry is not in right now, she went shopping with her mum.	Marry is in right now, she went shopping with her mum.	Will it be too late if I call around ten this evening?	"[""All right. Would you make coffee yourself when you are at home?"",""So have you ever been to the stamp display of the town?"",""True. So what do they do to you at your beauty spa?"",""Could you ask her to call me back when she gets in?"",""Can I go in to look for a job at their office?""]"	[52,870,217,159,1242]	[52,870,217,159,1242]	5	12	?	13	5		"Speaker 1: May I speak to Marry?
Speaker 2: Marry is not in right now, she went shopping with her mum.
Speaker 1: "	"Speaker 1: May I speak to Marry?
Speaker 2: Marry is in right now, she went shopping with her mum.
Speaker 1: "	Speaker 1	1
10	10	26	193	not		Peter, wash your hands first, and then have some dessert.__eou__Mom, can I have some ice cream?	Not today, Honey. Don't eat too much ice cream.	Today, Honey. Don't eat too much ice cream.	Mom, can I have one more piece of cake?	"[""Could I possibly make it early in the afternoon?"",""How did it grow into such a large place?"",""Is there anything else I should pay attention to?"",""Why? Looks like you're feeling very down! What happened?"",""Ok. Let me call you later. Is that okay?""]"	[1139,715,1101,480,174]	[1139,715,1101,480,174]	5	9	?	13	5		"Speaker 1: Peter, wash your hands first, and then have some dessert.
Speaker 2: Mom, can I have some ice cream?
Speaker 1: Not today, Honey. Don't eat too much ice cream.
Speaker 2: "	"Speaker 1: Peter, wash your hands first, and then have some dessert.
Speaker 2: Mom, can I have some ice cream?
Speaker 1: Today, Honey. Don't eat too much ice cream.
Speaker 2: "	Speaker 2	1
11	11	29	226	not		Do you have any plan to buy a house in this city?__eou__Absolutely we need a house here. But what makes me upset is the prices in this city.	Our monthly salary can not buy one square meter of the house here.	Our monthly salary can buy one square meter of the house here.	It is depressing to hear the price goes higher and higher.	"[""It's also known as Les Puces, which means \u2018 The Fleas'."",""Oh. I had hoped she would have called me back yesterday."",""The heroin may not be attractive. I like the story, though."",""I know that. I mean I couldn't understand her at all."",""Yes. I've been to New York. I got back only yesterday.""]"	[136,337,766,691,722]	[136,337,766,691,722]	5	11	.	13	5		"Speaker 1: Do you have any plan to buy a house in this city?
Speaker 2: Absolutely we need a house here. But what makes me upset is the prices in this city.
Speaker 1: Our monthly salary can not buy one square meter of the house here.
Speaker 2: "	"Speaker 1: Do you have any plan to buy a house in this city?
Speaker 2: Absolutely we need a house here. But what makes me upset is the prices in this city.
Speaker 1: Our monthly salary can buy one square meter of the house here.
Speaker 2: "	Speaker 2	0
12	12	31	235	not		Hello, I'm sorry for calling this late. May I speak to Peter?	I'm sorry. He's not in right now.	I'm sorry. He's in right now.	When is he coming back?	"[""When could we get together?"",""What time is it now?"",""Where will we sleep, then?"",""What is your greatest weakness?"",""Why are you feeling depressed?""]"	[460,128,1004,1046,399]	[460,128,1004,1046,399]	5	5	?	13	5		"Speaker 1: Hello, I'm sorry for calling this late. May I speak to Peter?
Speaker 2: I'm sorry. He's not in right now.
Speaker 1: "	"Speaker 1: Hello, I'm sorry for calling this late. May I speak to Peter?
Speaker 2: I'm sorry. He's in right now.
Speaker 1: "	Speaker 1	0
13	13	32	244	not		I would like to buy a black suit.__eou__Do you have any special brand in your mind?__eou__No, I never wear suit in my everyday life. I just want one to take part in my sister’s wedding ceremony.	I see. Have a look at this one. It’s very cheap because it’s not very durable.	I see. Have a look at this one. It’s very cheap because it’s very durable.	but it looks good. Let me try it on.	"[""Wait a second. I want to watch Ally McNeal."",""In that case, I guess I can rest assured."",""I appreciate it. It is related to company image."",""I always have the temptation to eat something there."",""I like the Brazilians. They are the real champions.""]"	[859,1047,1165,20,523]	[859,1047,1165,20,523]	5	9	.	13	5		"Speaker 1: I would like to buy a black suit.
Speaker 2: Do you have any special brand in your mind?
Speaker 1: No, I never wear suit in my everyday life. I just want one to take part in my sister’s wedding ceremony.
Speaker 2: I see. Have a look at this one. It’s very cheap because it’s not very durable.
Speaker 1: "	"Speaker 1: I would like to buy a black suit.
Speaker 2: Do you have any special brand in your mind?
Speaker 1: No, I never wear suit in my everyday life. I just want one to take part in my sister’s wedding ceremony.
Speaker 2: I see. Have a look at this one. It’s very cheap because it’s very durable.
Speaker 1: "	Speaker 1	1
14	14	33	249	not		Do you carrying fresh fish?__eou__Yes we do. Check the meat department. There is a fish counter there too.	I already looked, but did not see anything.	I already looked, but did see anything.	Let me show you.	"[""But it\u2019s so old."",""Well, check the newspaper."",""we've spent $ 1,000."",""And he's so handsome."",""I'm afraid not, sir.""]"	[719,262,122,698,183]	[719,262,122,698,183]	5	4	.	13	5		"Speaker 1: Do you carrying fresh fish?
Speaker 2: Yes we do. Check the meat department. There is a fish counter there too.
Speaker 1: I already looked, but did not see anything.
Speaker 2: "	"Speaker 1: Do you carrying fresh fish?
Speaker 2: Yes we do. Check the meat department. There is a fish counter there too.
Speaker 1: I already looked, but did see anything.
Speaker 2: "	Speaker 2	3
15	15	37	272	not		Where's the nearest tailor's?__eou__There is one just around the corner.__eou__The jacket is tight in the shoulders and long in the sleeve. What about the price there?	The price is moderate, but their work is sometimes not satisfactory.	The price is moderate, but their work is sometimes satisfactory.	Is there a better tailor's around here?	"[""You don\u2019t like this sort of exercise?"",""Oh, that's too bad. Was it stolen?"",""What can you do when this happens?"",""Is this the right bus, or not?"",""Did he want to know the reasons?""]"	[656,564,527,324,1068]	[656,564,527,324,1068]	5	7	?	13	5		"Speaker 1: Where's the nearest tailor's?
Speaker 2: There is one just around the corner.
Speaker 1: The jacket is tight in the shoulders and long in the sleeve. What about the price there?
Speaker 2: The price is moderate, but their work is sometimes not satisfactory.
Speaker 1: "	"Speaker 1: Where's the nearest tailor's?
Speaker 2: There is one just around the corner.
Speaker 1: The jacket is tight in the shoulders and long in the sleeve. What about the price there?
Speaker 2: The price is moderate, but their work is sometimes satisfactory.
Speaker 1: "	Speaker 1	0
