particle	train_fold	source_row_index	pool_row_index	component	layer_index	position_label	position_order	corruption_mode	clean_patch_position	corrupted_patch_position	clean_log_prob_per_token	corrupted_log_prob_per_token	patched_log_prob_per_token	raw_delta_per_token	restoration	restoration_clipped
just	0	0	49	resid	0	utterance_final	0	prompt_without	27	26	-2.3193359375	-2.521484375	-2.5205078125	0.0009765625	0.004830917874396135	0.004830917874396135
just	0	3	17	resid	0	utterance_final	0	prompt_without	32	31	-2.0788421630859375	-2.33380126953125	-2.33404541015625	-0.000244140625	-0.0009575677778442755	0.0
just	0	18	66	resid	0	utterance_final	0	prompt_without	51	50	-1.131839232011275	-1.3024442846124822	-1.3022448799826882	0.00019940462979395335	0.0011688084658316986	0.0011688084658316986
just	0	22	154	resid	0	utterance_final	0	prompt_without	39	38	-2.4440104166666665	-2.5569661458333335	-2.5564778645833335	0.00048828125	0.004322766570605176	0.004322766570605176
just	0	0	49	resid	1	utterance_final	0	prompt_without	27	26	-2.3193359375	-2.521484375	-2.5244140625	-0.0029296875	-0.014492753623188406	0.0
just	0	3	17	resid	1	utterance_final	0	prompt_without	32	31	-2.0788421630859375	-2.33380126953125	-2.337158203125	-0.00335693359375	-0.013166556945358789	0.0
just	0	18	66	resid	1	utterance_final	0	prompt_without	51	50	-1.131839232011275	-1.3024442846124822	-1.302535663951527	-9.13793390449058e-05	-0.0005356191839083854	0.0
just	0	22	154	resid	1	utterance_final	0	prompt_without	39	38	-2.4440104166666665	-2.5569661458333335	-2.53759765625	0.01936848958333348	0.17146974063400663	0.17146974063400663
just	0	0	49	resid	2	utterance_final	0	prompt_without	27	26	-2.3193359375	-2.521484375	-2.521484375	0.0	0.0	0.0
just	0	3	17	resid	2	utterance_final	0	prompt_without	32	31	-2.0788421630859375	-2.33380126953125	-2.338134765625	-0.00433349609375	-0.016996828056735892	0.0
just	0	18	66	resid	2	utterance_final	0	prompt_without	51	50	-1.131839232011275	-1.3024442846124822	-1.3046299327503552	-0.002185648137873031	-0.012811157140709233	0.0
just	0	22	154	resid	2	utterance_final	0	prompt_without	39	38	-2.4440104166666665	-2.5569661458333335	-2.5467122395833335	0.01025390625	0.0907780979827087	0.0907780979827087
just	0	0	49	resid	3	utterance_final	0	prompt_without	27	26	-2.3193359375	-2.521484375	-2.5185546875	0.0029296875	0.014492753623188406	0.014492753623188406
just	0	3	17	resid	3	utterance_final	0	prompt_without	32	31	-2.0788421630859375	-2.33380126953125	-2.3446044921875	-0.01080322265625	-0.04237237416960919	0.0
just	0	18	66	resid	3	utterance_final	0	prompt_without	51	50	-1.131839232011275	-1.3024442846124822	-1.3046885403719815	-0.0022442557594992696	-0.013154685194144058	0.0
just	0	22	154	resid	3	utterance_final	0	prompt_without	39	38	-2.4440104166666665	-2.5569661458333335	-2.5403645833333335	0.0166015625	0.14697406340057598	0.14697406340057598
just	0	0	49	resid	4	utterance_final	0	prompt_without	27	26	-2.3193359375	-2.521484375	-2.5126953125	0.0087890625	0.043478260869565216	0.043478260869565216
just	0	3	17	resid	4	utterance_final	0	prompt_without	32	31	-2.0788421630859375	-2.33380126953125	-2.34637451171875	-0.0125732421875	-0.04931474055898019	0.0
just	0	18	66	resid	4	utterance_final	0	prompt_without	51	50	-1.131839232011275	-1.3024442846124822	-1.303750991821289	-0.0013067072088068787	-0.007659252694357962	0.0
