pool_row_index	pool_rank	source_dataset	dataset_role	source_row_index	id	word	subset	context	w_word	wo_word	followup_metadata_only	with_without_diff	generated_from	generated_from_text	sampling_strategy	prompt_mode	top_p	temperature	base_seed	condition_seed	samples_requested	unique_samples_obtained	max_sample_draws	sample_draw	unique_rank	response	normalized_response	raw_generation	log_prob_given_P	log_prob_given_P_prime	log_prob_given_P_per_token	log_prob_given_P_prime_per_token	token_count_given_P	token_count_given_P_prime	own_log_prob	other_log_prob	own_log_prob_per_token	other_log_prob_per_token	own_context_log_prob_advantage	own_context_log_prob_advantage_per_token	own_context_win	include_context	followup	particle	selection_score_per_token	selection_score_raw	fold_id	prompt_with	prompt_without	next_speaker
0	1	only	discourse_particle	10	1038	only	h	Can I order take-out here?	We only have spring rolls today for take-out.	We have spring rolls today for take-out.	Then could I have four orders, please?		P	We only have spring rolls today for take-out.	nucleus	chat	0.9	1.0	20260416	2039209861	50	50	500	1	1	That's a bit limited, but spring rolls can be delicious! Do you have any specials or sauces to pair with them?	that's a bit limited, but spring rolls can be delicious! do you have any specials or sauces to pair with them?	That's a bit limited, but spring rolls can be delicious! Do you have any specials or sauces to pair with them?	-19.25798082351685	-45.17043840885162	-0.6419326941172282	-1.505681280295054	30	30	-19.25798082351685	-45.17043840885162	-0.6419326941172282	-1.505681280295054	25.91245758533477	0.8637485861778259	True	True	Then could I have four orders, please?	only	0.8637485861778259	25.91245758533477	0	"Speaker 1: Can I order take-out here?
Speaker 2: We only have spring rolls today for take-out.
Speaker 1: "	"Speaker 1: Can I order take-out here?
Speaker 2: We have spring rolls today for take-out.
Speaker 1: "	Speaker 1
1	2	only	discourse_particle	10	1038	only	h	Can I order take-out here?	We only have spring rolls today for take-out.	We have spring rolls today for take-out.	Then could I have four orders, please?		P	We only have spring rolls today for take-out.	nucleus	chat	0.9	1.0	20260416	2039209861	50	50	500	39	39	That's okay! I love spring rolls. What kind of filling do you have available? And do you have any dipping sauces?	that's okay! i love spring rolls. what kind of filling do you have available? and do you have any dipping sauces?	That's okay! I love spring rolls. What kind of filling do you have available? And do you have any dipping sauces?	-14.58426058292389	-40.50169050693512	-0.4704600188039964	-1.3065061453850038	31	31	-14.58426058292389	-40.50169050693512	-0.4704600188039964	-1.3065061453850038	25.91742992401123	0.8360461265810073	True	True	Then could I have four orders, please?	only	0.8360461265810073	25.91742992401123	0	"Speaker 1: Can I order take-out here?
Speaker 2: We only have spring rolls today for take-out.
Speaker 1: "	"Speaker 1: Can I order take-out here?
Speaker 2: We have spring rolls today for take-out.
Speaker 1: "	Speaker 1
2	3	only	discourse_particle	10	1038	only	h	Can I order take-out here?	We only have spring rolls today for take-out.	We have spring rolls today for take-out.	Then could I have four orders, please?		P	We only have spring rolls today for take-out.	nucleus	chat	0.9	1.0	20260416	2039209861	50	50	500	29	29	I'm not sure if I'm in the mood for just spring rolls. Can you tell me what's in them?	i'm not sure if i'm in the mood for just spring rolls. can you tell me what's in them?	I'm not sure if I'm in the mood for just spring rolls. Can you tell me what's in them?	-16.0530287027359	-38.84510982036591	-0.5535527138874449	-1.3394865455298588	29	29	-16.0530287027359	-38.84510982036591	-0.5535527138874449	-1.3394865455298588	22.792081117630005	0.7859338316424139	True	True	Then could I have four orders, please?	only	0.7859338316424139	22.792081117630005	0	"Speaker 1: Can I order take-out here?
Speaker 2: We only have spring rolls today for take-out.
Speaker 1: "	"Speaker 1: Can I order take-out here?
Speaker 2: We have spring rolls today for take-out.
Speaker 1: "	Speaker 1
3	4	only	discourse_particle	10	1038	only	h	Can I order take-out here?	We only have spring rolls today for take-out.	We have spring rolls today for take-out.	Then could I have four orders, please?		P	We only have spring rolls today for take-out.	nucleus	chat	0.9	1.0	20260416	2039209861	50	50	500	23	23	That's okay! I'll take a few spring rolls, thank you! Do you have any dipping sauces I can choose from?	that's okay! i'll take a few spring rolls, thank you! do you have any dipping sauces i can choose from?	That's okay! I'll take a few spring rolls, thank you! Do you have any dipping sauces I can choose from?	-11.766956210136414	-35.01249396800995	-0.3795792325850456	-1.1294352892906434	31	31	-11.766956210136414	-35.01249396800995	-0.3795792325850456	-1.1294352892906434	23.24553775787353	0.7498560567055979	True	True	Then could I have four orders, please?	only	0.7498560567055979	23.24553775787353	0	"Speaker 1: Can I order take-out here?
Speaker 2: We only have spring rolls today for take-out.
Speaker 1: "	"Speaker 1: Can I order take-out here?
Speaker 2: We have spring rolls today for take-out.
Speaker 1: "	Speaker 1
4	5	only	discourse_particle	10	1038	only	h	Can I order take-out here?	We only have spring rolls today for take-out.	We have spring rolls today for take-out.	Then could I have four orders, please?		P	We only have spring rolls today for take-out.	nucleus	chat	0.9	1.0	20260416	2039209861	50	50	500	7	7	That's okay! Spring rolls sound delicious. What kind of fillings do you have available?	that's okay! spring rolls sound delicious. what kind of fillings do you have available?	That's okay! Spring rolls sound delicious. What kind of fillings do you have available?	-9.161969542503355	-25.660462498664856	-0.3817487309376399	-1.069185937444369	24	24	-9.161969542503355	-25.660462498664856	-0.3817487309376399	-1.069185937444369	16.4984929561615	0.6874372065067291	True	True	Then could I have four orders, please?	only	0.6874372065067291	16.4984929561615	0	"Speaker 1: Can I order take-out here?
Speaker 2: We only have spring rolls today for take-out.
Speaker 1: "	"Speaker 1: Can I order take-out here?
Speaker 2: We have spring rolls today for take-out.
Speaker 1: "	Speaker 1
5	6	only	discourse_particle	10	1038	only	h	Can I order take-out here?	We only have spring rolls today for take-out.	We have spring rolls today for take-out.	Then could I have four orders, please?		P	We only have spring rolls today for take-out.	nucleus	chat	0.9	1.0	20260416	2039209861	50	50	500	32	32	That's a start! Do you have any variations on the spring rolls, like vegan or gluten-free options?	that's a start! do you have any variations on the spring rolls, like vegan or gluten-free options?	That's a start! Do you have any variations on the spring rolls, like vegan or gluten-free options?	-14.192475318908691	-32.02360665798187	-0.5256472340336552	-1.1860595058511805	27	27	-14.192475318908691	-32.02360665798187	-0.5256472340336552	-1.1860595058511805	17.83113133907318	0.6604122718175253	True	True	Then could I have four orders, please?	only	0.6604122718175253	17.83113133907318	0	"Speaker 1: Can I order take-out here?
Speaker 2: We only have spring rolls today for take-out.
Speaker 1: "	"Speaker 1: Can I order take-out here?
Speaker 2: We have spring rolls today for take-out.
Speaker 1: "	Speaker 1
6	7	only	discourse_particle	10	1038	only	h	Can I order take-out here?	We only have spring rolls today for take-out.	We have spring rolls today for take-out.	Then could I have four orders, please?		P	We only have spring rolls today for take-out.	nucleus	chat	0.9	1.0	20260416	2039209861	50	50	500	24	24	That's okay! I'll take a look at the menu. How much are the spring rolls, and do you have any vegetarian options?	that's okay! i'll take a look at the menu. how much are the spring rolls, and do you have any vegetarian options?	That's okay! I'll take a look at the menu. How much are the spring rolls, and do you have any vegetarian options?	-17.14615285396576	-38.782344460487366	-0.5195803895141139	-1.175222559408708	33	33	-17.14615285396576	-38.782344460487366	-0.5195803895141139	-1.175222559408708	21.636191606521606	0.6556421698945941	True	True	Then could I have four orders, please?	only	0.6556421698945941	21.636191606521606	0	"Speaker 1: Can I order take-out here?
Speaker 2: We only have spring rolls today for take-out.
Speaker 1: "	"Speaker 1: Can I order take-out here?
Speaker 2: We have spring rolls today for take-out.
Speaker 1: "	Speaker 1
7	8	only	discourse_particle	10	1038	only	h	Can I order take-out here?	We only have spring rolls today for take-out.	We have spring rolls today for take-out.	Then could I have four orders, please?		P	We only have spring rolls today for take-out.	nucleus	chat	0.9	1.0	20260416	2039209861	50	50	500	37	37	That's okay! Spring rolls can be a delicious and satisfying option. How many would you like to order? And would you like them steamed or fried?	that's okay! spring rolls can be a delicious and satisfying option. how many would you like to order? and would you like them steamed or fried?	That's okay! Spring rolls can be a delicious and satisfying option. How many would you like to order? And would you like them steamed or fried?	-12.59545373916626	-36.05238926410675	-0.3404176686261151	-0.9743888990299122	37	37	-12.59545373916626	-36.05238926410675	-0.3404176686261151	-0.9743888990299122	23.45693552494049	0.6339712304037971	True	True	Then could I have four orders, please?	only	0.6339712304037971	23.45693552494049	0	"Speaker 1: Can I order take-out here?
Speaker 2: We only have spring rolls today for take-out.
Speaker 1: "	"Speaker 1: Can I order take-out here?
Speaker 2: We have spring rolls today for take-out.
Speaker 1: "	Speaker 1
8	9	only	discourse_particle	10	1038	only	h	Can I order take-out here?	We only have spring rolls today for take-out.	We have spring rolls today for take-out.	Then could I have four orders, please?		P	We only have spring rolls today for take-out.	nucleus	chat	0.9	1.0	20260416	2039209861	50	50	500	35	35	That's okay! Spring rolls can be a tasty and satisfying option for take-out. Do you have any options for dipping sauces?	that's okay! spring rolls can be a tasty and satisfying option for take-out. do you have any options for dipping sauces?	That's okay! Spring rolls can be a tasty and satisfying option for take-out. Do you have any options for dipping sauces?	-15.029661774635317	-33.76249027252197	-0.4848277991817843	-1.0891125894361926	31	31	-15.029661774635317	-33.76249027252197	-0.4848277991817843	-1.0891125894361926	18.732828497886658	0.6042847902544082	True	True	Then could I have four orders, please?	only	0.6042847902544082	18.732828497886658	0	"Speaker 1: Can I order take-out here?
Speaker 2: We only have spring rolls today for take-out.
Speaker 1: "	"Speaker 1: Can I order take-out here?
Speaker 2: We have spring rolls today for take-out.
Speaker 1: "	Speaker 1
9	10	only	discourse_particle	10	1038	only	h	Can I order take-out here?	We only have spring rolls today for take-out.	We have spring rolls today for take-out.	Then could I have four orders, please?		P	We only have spring rolls today for take-out.	nucleus	chat	0.9	1.0	20260416	2039209861	50	50	500	3	3	Just spring rolls? That's a bit limited. Is it a special deal or promotion, or is there something going on that's causing the limited options?	just spring rolls? that's a bit limited. is it a special deal or promotion, or is there something going on that's causing the limited options?	Just spring rolls? That's a bit limited. Is it a special deal or promotion, or is there something going on that's causing the limited options?	-21.42217946052552	-42.35145831108093	-0.5950605405701531	-1.176429397530026	36	36	-21.42217946052552	-42.35145831108093	-0.5950605405701531	-1.176429397530026	20.92927885055542	0.5813688569598728	True	True	Then could I have four orders, please?	only	0.5813688569598728	20.92927885055542	0	"Speaker 1: Can I order take-out here?
Speaker 2: We only have spring rolls today for take-out.
Speaker 1: "	"Speaker 1: Can I order take-out here?
Speaker 2: We have spring rolls today for take-out.
Speaker 1: "	Speaker 1
