id	word	context	w_word	wo_word	followup	log_prob_w_word	log_prob_wo_word	log_prob_w_word_per_token	log_prob_wo_word_per_token	w_word_token_count	wo_word_token_count	log_prob_followup_with	log_prob_followup_without	log_prob_followup_with_per_token	log_prob_followup_without_per_token	followup_token_count_with	followup_token_count_without	log_prob_full_with	log_prob_full_without	log_prob_full_with_per_token	log_prob_full_without_per_token	full_token_count_with	full_token_count_without	include_context	removal_log_prob_delta_per_token	removal_log_prob_delta_per_token_robust_z	removal_upper_iqr_outlier	removal_upper_mad_outlier
692	not	Hi, Mike. I am going to move on the first of next month.__eou__Congratulations! So, have you started planning your move?__eou__Yes, I am trying to find good movers now. Do you know any?	Not really.	Really.	What did you do for your last move?	-9.679519414901733	-16.718581914901733	-1.3827884878431047	-2.786430319150289	7	6	-17.101454734802246	-18.776113510131836	-1.3154965180617113	-1.444316423856295	13	13	-146.79756712913513	-155.51763606071472	-1.9573008950551352	-2.101589676496145	75	74	True	1.4036418313071843	3.943634910293181	True	True
1467	not	May I help you, sir?__eou__Yes, please. I'm looking for a cotton polo shirt.__eou__Any particular colour?	Not really.	Really.	How about this one?	-6.1901984214782715	-15.261487483978271	-0.8843140602111816	-2.543581247329712	7	6	-6.403805732727051	-8.177652359008789	-0.7115339703030057	-0.9086280398898654	9	9	-81.09079122543335	-91.93592691421509	-1.5594382927967951	-1.8026652336120605	52	51	True	1.6592671871185303	4.930438069679631	True	True
3153	not	I'm very sorry, sir. My car has broken down.__eou__Sorry to hear that. Can we do anything about it?	I'm afraid not.	I'm afraid.	Then I have to call another taxi, or I'll be late.	-5.992534160614014	-16.027812480926514	-0.6658371289571127	-2.003476560115814	9	8	-31.37855839729309	-31.56868839263916	-1.7432532442940607	-1.7538160218132868	18	18	-112.28252673149109	-122.48633432388306	-1.8713754455248515	-2.0760395648115773	60	59	True	1.3376394311587014	3.68884259210985	True	True
3583	not	Do you even know where this bus is supposed to go?__eou__It should take us all the way up to Altadena.__eou__Don't you know?	I'm not positive if it does or not.	I'm positive if it does or.	Is this the right bus, or not?	-24.996758460998535	-39.486992835998535	-1.785482747214181	-3.2905827363332114	14	12	-19.67174530029297	-21.607680320739746	-1.513211176945613	-1.662129255441519	13	13	-141.66678762435913	-158.08105087280273	-2.083335112122928	-2.395167437466708	68	66	True	1.5050999891190304	4.335298837200916	True	True
3630	not	So, where is this bus supposed to take us?__eou__It should take us back up to Altadena.__eou__Well, don't you know for sure?	I'm not really sure if it does or not.	I'm really sure if it does or.	Are you sure we got on the right bus?	-20.380022287368774	-36.24937176704407	-1.3586681524912516	-2.7884132128495436	15	13	-15.183247566223145	-16.39235496520996	-1.0845176833016532	-1.1708824975149972	14	14	-135.73640131950378	-152.8432137966156	-1.9117803002747011	-2.2151190405306607	71	69	True	1.429745060358292	4.044402491881728	True	True
5817	not	Thank you for coming to see me off.	Not at all.	At all.	If have time, I'll come again.	-7.869842529296875	-16.90899658203125	-0.9837303161621094	-2.4155709402901784	8	7	-31.74674129486084	-30.730438232421875	-2.442057022681603	-2.363879864032452	13	13	-82.33788585662842	-90.38360023498535	-2.4217025251949535	-2.738896976817738	34	33	True	1.431840624128069	4.052492099980848	True	True
5938	not	What are you doing this Saturday?	Not much.	Much.	Do you want to go see a movie?	-7.780893325805664	-16.276987075805664	-1.1115561894008092	-2.712831179300944	7	6	-11.841228485107422	-14.582601547241211	-0.9108637296236478	-1.1217385805570161	13	13	-52.86150360107422	-64.11715888977051	-1.7052097935830393	-2.137238629659017	31	30	True	1.6012749899001346	4.706567932645537	True	True
6038	not	Hi Mark.__eou__Hi.__eou__What are you planning to do today?	I'm not sure yet.	I'm sure yet.	Would you like to have lunch with me?	-6.639186978340149	-18.97182857990265	-0.6639186978340149	-2.1079809533225164	10	9	-13.620767593383789	-15.391900062561035	-1.0477513533372145	-1.183992312504695	13	13	-68.39208900928497	-82.49586308002472	-1.4248351876934369	-1.755231129362228	48	47	True	1.4440622554885016	4.099671865857563	True	True
6319	not	I can't believe how hot it is.	It's not even noon yet.	It's even noon yet.	That means it will get hotter.	-10.447183609008789	-22.79166603088379	-0.9497439644553445	-2.279166603088379	11	10	-18.804104804992676	-17.121715545654297	-1.7094640731811523	-1.5565195950594815	11	11	-66.01735973358154	-76.68433570861816	-1.8862102781023298	-2.2554216384887695	35	34	True	1.3294226386330343	3.657122902963147	True	True
6391	not	Good morning, Mei! How are you?__eou__Hi Tom! I'm fine, and you?	Not bad thanks.	Bad thanks.	Good. See you!	-9.828024864196777	-19.953757286071777	-1.2285031080245972	-2.850536755153111	8	7	-15.774605512619019	-18.774314880371094	-1.7527339458465576	-2.086034986707899	9	9	-86.36332106590271	-99.48876285552979	-1.9628027514977888	-2.3136921594309254	44	43	True	1.622033647128514	4.786703600222673	True	True
6628	not	Hello?__eou__Hi, Shelley. Have you had lunch?	Not yet.	Yet.	So shall we have lunch together? I’d like to take you this time.	-4.314867973327637	-12.684985160827637	-0.6164097104753766	-2.114164193471273	7	6	-40.88220834732056	-41.67788481712341	-2.044110417366028	-2.0838942408561705	20	20	-98.07700204849243	-107.24065947532654	-2.132108740184618	-2.3831257661183676	46	45	True	1.4977544829958962	4.306942617894757	True	True
6687	not	I love slim girls, don’t you?	Not particularly. I like fat girls.	Particularly. I like fat girls.	And I like a girl with good skin, do you?	-16.883224487304688	-29.877967834472656	-1.4069353739420574	-2.7161788940429688	12	11	-34.430572509765625	-34.493417739868164	-2.1519107818603516	-2.1558386087417603	16	16	-101.62871170043945	-114.68960380554199	-2.4787490658643767	-2.8672400951385497	41	40	True	1.3092435201009114	3.5792244571773995	True	True
