source_dataset	dataset_role	source_row_index	id	word	subset	p_candidate_count	p_prime_candidate_count	exact_overlap_count	exact_overlap_jaccard	p_win_rate	p_weighted_win_rate	p_mean_advantage	p_weighted_advantage	p_top1_win	p_top1_advantage	p_prime_win_rate	p_prime_weighted_win_rate	p_prime_mean_advantage	p_prime_weighted_advantage	p_prime_top1_win	p_prime_top1_advantage	both_mean_advantages_positive	both_top1_own_context_wins
just	discourse_particle	0	1157	just	h	50	50	0	0.0	0.82	0.9825385599659302	0.6258745574951172	0.2908074065325581	1.0	0.044189453125	0.48	0.614349103831062	0.004749736785888672	0.034140380636233564	1.0	0.033203125	True	True
just	discourse_particle	1	5467	just	h	50	50	0	0.0	0.7	0.9360699444586525	0.2880061674118042	0.22484715155603321	1.0	0.02685546875	0.56	0.9517798401550555	0.1373365330696106	1.3822777526951349	1.0	0.974609375	True	True
just	discourse_particle	2	2485	just	h	50	50	3	0.030927835051546393	0.78	0.8887050756322202	0.4590859222412109	0.14065618154803125	0.0	-0.01416015625	0.46	0.07355356535600523	-0.005879383087158203	-0.14361763486414028	0.0	-0.1707763671875	False	False
just	discourse_particle	3	2798	just	h	50	50	0	0.0	0.66	0.06594584728560612	0.6679991793632507	-0.3912035467544916	1.0	0.75146484375	0.74	0.9926160362390447	0.4380965280532837	0.3224536897280116	1.0	0.1839599609375	True	True
just	discourse_particle	4	1627	just	h	50	50	1	0.010101010101010102	0.68	0.9999987527875414	0.15534204483032227	0.22053196932709399	1.0	0.3634166717529297	0.6	1.624801880501429e-05	0.22573824882507323	-0.03402525734327047	0.0	-0.0166015625	True	False
just	discourse_particle	5	4508	just	h	50	50	0	0.0	0.6	0.7206320004907699	0.22250965118408203	0.12198058097491578	1.0	0.15472412109375	0.52	0.14096611106588752	0.17966354370117188	-0.2753672775395483	1.0	1.4033203125	True	True
just	discourse_particle	6	638	just	h	50	50	0	0.0	0.64	0.7457891672932659	0.1880173110961914	0.188136538539207	1.0	0.2685546875	0.46	0.008916886944636977	-0.016132254600524903	-0.3743152929628559	1.0	0.0986328125	False	True
just	discourse_particle	7	8659	just	h	50	50	0	0.0	0.72	0.3428902346718772	0.1911019515991211	-0.023509245406898936	0.0	-0.0785064697265625	0.48	0.5230089418260788	0.04654884338378906	-0.008564268965261005	0.0	-0.024658203125	True	False
just	discourse_particle	8	6078	just	h	50	50	1	0.010101010101010102	0.76	0.9994952301489324	0.2703757858276367	0.36733658062384944	0.0	-0.1705493927001953	0.54	0.050561593791007775	0.03840293884277344	-0.3645948389937214	0.0	-0.3125	True	False
just	discourse_particle	9	9954	just	h	50	50	0	0.0	0.62	0.9992204276128828	0.12841583251953126	0.12142765386125604	1.0	0.19580078125	0.36	0.000357358842616064	-0.03068087577819824	-0.14510586964964364	0.0	-0.10528564453125	False	False
just	discourse_particle	10	5138	just	h	50	50	0	0.0	0.68	0.32453761778557216	0.2365427303314209	-0.13950629940355025	1.0	0.318359375	0.66	0.10925640810526538	0.4678928756713867	0.23233925108124548	1.0	9.957897186279297	True	True
just	discourse_particle	11	498	just	h	50	50	0	0.0	0.64	0.8893224120454226	0.12847599983215333	0.33823087203145863	0.0	-0.3082275390625	0.54	0.9932458364153985	0.02575157642364502	0.13826788634245377	0.0	-0.53759765625	True	False
just	discourse_particle	12	7769	just	h	50	50	0	0.0	0.7	0.10517154911630285	0.4774624466896057	-0.1189162557851718	1.0	0.7089691162109375	0.52	0.09107231114631416	0.14215529203414917	-0.31441634729214724	1.0	0.764251708984375	True	True
just	discourse_particle	13	12718	just	h	50	50	0	0.0	0.78	0.016101869487138362	0.2083885860443115	-0.05421830098090134	1.0	0.209228515625	0.26	0.9919866747163819	-0.11993631362915039	0.061966082108525285	1.0	0.321533203125	False	True
just	discourse_particle	14	8242	just	h	50	50	0	0.0	0.6	0.7093165919615683	0.08979915618896485	0.10194766733135488	1.0	0.14599609375	0.54	0.7228011545013361	0.02010570526123047	0.04293392976943154	0.0	-0.1389102935791015	True	False
just	discourse_particle	15	8890	just	h	50	50	0	0.0	0.52	0.9779336678936192	0.12044536590576171	0.15571403788086946	0.0	-1.1054534912109375	0.48	2.0533571706322506e-05	-0.03453272819519043	-0.10768670119576526	1.0	0.237060546875	False	False
just	discourse_particle	16	10613	just	h	50	50	4	0.041666666666666664	0.74	0.37787621688884726	0.21329726219177247	-0.014013969234414515	1.0	0.12109375	0.56	0.602844951129645	0.049772415161132816	0.03351614533569998	0.0	-0.1328125	True	False
just	discourse_particle	17	6323	just	h	50	50	0	0.0	0.68	0.001978736803713119	0.07329559326171875	-0.1680396242237535	0.0	-0.1431198120117187	0.42	0.013562987643309776	-0.026310780048370362	-0.07792425308825401	1.0	0.0106544494628906	False	False
just	discourse_particle	18	4012	just	h	50	50	0	0.0	0.64	0.0014686487383918595	0.18153014421463012	-0.010660843770059407	1.0	0.04833984375	0.5	0.9019178912372455	0.15057405471801757	0.0197220127422964	0.0	-0.08209228515625	True	False
